companyid	company_name
789	iZafe
790	Jaeren Sparebank
791	Jeudan
792	Jinhui Shipping
793	JLT Mobile
794	JM
795	Job Solution Sweden
796	John Mattson
797	JonDeTech Sensors
798	Jumpgate
799	Jyske Bank
800	K-Fast Holding
801	K2A
802	K2A Knaust & Andersson Pref
803	K33
804	Kabe
805	Kakel Max
806	Kaldvik
807	Kallebäck Property
808	Kalmar
809	Kambi
810	Kamux
811	Kancera
812	Karnell Group
813	Karnov
814	Karolinska Development
815	Katalysen Ventures
816	KB Components
817	KebNi
818	Kemira
819	Kempower
820	Kentima
821	Keskisuomalainen
822	Kesko A
823	Kesko B
824	Kesla
825	KH Group
826	Kid
827	Kiliaro
828	Kinda Brave
829	Kinnevik A
830	Kinnevik B
831	Kitron
832	Kjell Group
833	KlaraBo
834	Klaria Pharma
835	Klaveness Combination
836	Klimator
837	KMC Properties
838	KnowIT
839	Kobenhavns Lufthavne
840	Kojamo
841	Komplett
842	KONE
843	Konecranes
844	Kongsberg Automotive
845	Kongsberg Gruppen
846	Konsolidator
847	Kontigo Care
848	Kopparbergs
849	Koskisen
850	Kraft Bank
851	Kreate Group
852	Kreditbanken
853	Krona Public Real Estate
854	Kvix
855	Lagercrantz
856	Lammhults Design
857	Lamor
858	Lån og Spar Bank
859	Lappland Guldprospektering
860	LapWall
861	Lassila & Tikanoja
862	Latour
863	Latvian Forest
864	Lea Bank
865	LeadDesk
866	Leading Edge Materials
867	LED iBond
868	Lehto Group
869	Leisure Goods
870	Lemonsoft
871	Leroy Seafood
872	Level Bio
873	LIDDS
874	Lifco
875	Lifecare
876	Lifeclean
877	LightAir
878	Lightning Group
879	Lime Technologies
880	Linc
881	Lindab
882	Lindex Group
883	Link Mobility
884	Link Prop
885	Lipidor
886	Lipigon Pharmaceuticals
887	Lipum
888	Litium
889	Logistea A
890	Logistea B
891	Logistri
892	Lohilo Foods
893	Loihde
894	Lokotech
895	Lollands Bank
896	Loomis
897	Lovisagruvan
898	Loyal Solutions
899	Lucara Diamond
900	LumenRadio
901	Lumi Gruppen
902	Lumito
903	Lundbergföretagen
904	Lundin Gold
905	Lundin Mining
906	Luxbright
907	Luxor
908	Lyckegård
909	Lyko
910	Lytix Biopharma
911	M Vest Water
912	MAG Interactive
913	Magle Chemoswed
914	Magnasense
915	Magnora
916	Maha Energy
917	Mahvie Minerals
918	Malmbergs Elektriska
919	Mandatum
920	Mangold
921	Mantex
922	MapsPeople
923	Marimekko
924	Martela
925	Mashup Ireland
926	Måsoval
927	Matas
928	MatvareExpressen
929	Maven Wireless
930	Mavshack
931	Maximum Entertainment
932	Mdundo.com
933	MedCap
934	Medclair
935	Medhelp Care
936	Media
937	Mediacle
938	Medical Equipment
939	Medicover
940	Medimi
941	Medistim
942	Medivir
943	MEKO
944	Melhus Sparebank
945	Mendus
946	Mentice
947	Meriaura
948	Merus Power
949	Metacon
950	Metsä Board A
951	Metsä Board B
952	Metso
953	Micro Systemation
954	Micropos Medical
955	Midsona A
956	Midsona B
957	Midsummer
958	Mildef Group
959	MindArk
960	Minesto
