file_name	processed	type
68369a10_forandring-av-antal-aktier-och-roster-i-sdiptech-ab-publ.pdf	TRUE	other
69180dd6_4017809.pdf	TRUE	other
69d2b3cc_4013751.pdf	TRUE	other
6a1c84df_kallelse-till-arsstamma-i-ascelia-pharma-ab.pdf	TRUE	other
6d0bbdbb_xbrane-uppdaterar-kring-tidslinjen-for-aterinlamning-av-ansokan-av-marknadsgodkannande-i-usa.pdf	TRUE	other
6d5a02bc_ac9cd69952b9f121.pdf	TRUE	other
6d716cf2_arion-bank-transactions-in-relation-to-a-share-buyback-programme.pdf	TRUE	other
6db336ec_antal-aktier-och-roster-i-orexo.pdf	TRUE	other
6e40b49a_xspray-offentliggor-informationsdokument-avseende-foretradesemission.pdf	TRUE	other
6e49909a_ad9db5f2f367b7e8.pdf	TRUE	other
70b4def4_elliptic-labs-mandatory-notification-of-trades.pdf	TRUE	other
70b4def4_elliptic-labs-pdmr-forms.pdf	TRUE	other
71b5549c_humana-asr-2025-eng.pdf	TRUE	Annual report
71e16734_arsstamma-i-dios-fastigheter-ab-publ.pdf	TRUE	other
7332bce5_4017750.pdf	TRUE	other
73f21113_annual-and-sustainability-report-2025-humble-group.pdf	TRUE	Annual report
7445c7d7_1-humana-kallelse-2026.pdf	TRUE	other
7445c7d7_humana-kallar-till-arsstamma.pdf	TRUE	other
76190086_4015366.pdf	TRUE	Annual report
76a7d1d8_krt-1500-andreas-vestre-aksjekjop-270326.pdf	TRUE	other
76a7d1d8_krt-1500-helene-dahl-jorum-aksjer-270326.pdf	TRUE	other
76a7d1d8_krt-1500-joachim-trobraten-opsjoner-270326.pdf	TRUE	other
76a7d1d8_krt-1500-jon-erik-hogberg-opsjoner-270326.pdf	TRUE	other
76a7d1d8_krt-1500-mette-mowinckel-aksjer-270326.pdf	TRUE	other
76a7d1d8_krt-1500-mette-mowinckel-opsjoner-270326.pdf	TRUE	other
77072d2d_4014394.pdf	TRUE	other
7717c417_logistea-tilltrader-forvarv-av-sex-fullt-uthyrda-terminaler-for-587-msek-fran-dsv-i-sale-leaseback-affar.pdf	TRUE	other
772cf402_appendix-to-agenda-item-7.pdf	TRUE	other
772cf402_appendix-to-agenda-item-8.pdf	TRUE	other
772cf402_appendix-to-agenda-items-4-and-6.pdf	TRUE	other
772cf402_corporate-governance-report-appendix-item-4.pdf	TRUE	other
772cf402_executive-remuneration-report-appendix-item-3.pdf	TRUE	other
772cf402_notice-of-annual-general-meeting-2026.pdf	TRUE	other
772cf402_online-guide-engelsk.pdf	TRUE	other
772cf402_recommendation-of-the-nomination-committee-2026-appendix-items-9-14.pdf	TRUE	other
777fb9c8_kallelse-arsstamma-i-medcap-ab-publ-den-4-maj-2026.pdf	TRUE	other
77aa00a5_cinclus-pharma-deltar-i-kommande-investerarkonferenser.pdf	TRUE	other
77aca845_kallelse-till-arsstamma-i-profoto-holding-ab-publ.pdf	TRUE	other
7840829a_indutrades-ekonomi-och-finansdirektor-lamnar-i-juli-2026.pdf	TRUE	other
788335c4_notice-of-the-annual-general-meeting-2026-ctt-systems-ab-publ.pdf	TRUE	other
7a316b6e_kallelse-till-arsstamma-k2a-knaust-and-andersson-fastigheter-ab-publ.pdf	TRUE	other
7a70b43a_netel-utokar-samarbetet-med-norska-elbolaget-glitre-nett-med-nytt-ramavtal-vart-upp-till-300-mnok.pdf	TRUE	other
7b50cf2f_roko-annual-report-2025.pdf	TRUE	Annual report
7b7df297_4015441.pdf	TRUE	other
7bd322c7_4014164.pdf	TRUE	other
7c2b1257_4015296.pdf	TRUE	other
7c2b1257_a9e60314cb695322.pdf	TRUE	other
7c41ac6c_notice-of-extraordinary-general-meeting-in-precise-biometrics-ab.pdf	TRUE	other
7c41b409_the-nomination-committees-proposal-for-the-board-of-directors-of-apotea-ab-publ.pdf	TRUE	other
7c9a52c1_press-release.pdf	TRUE	other
7d1cd6d5_4014257.pdf	TRUE	other
7dbfb593_4014184.pdf	TRUE	other
7e94559f_4008790.pdf	TRUE	other
7fba2efa_4013956.pdf	TRUE	other
801fdc4d_8debef556382bde7.pdf	TRUE	other
8090f5d4_kallelse-till-arsstamma-i-addlife-ab-publ.pdf	TRUE	other
80b6ea34_notice-of-annual-general-meeting-in-ascelia-pharma-ab.pdf	TRUE	other
80e0328a_4013729.pdf	TRUE	other
81b23cdb_kallelse-till-arsstamma-2026-i-net-insight-ab-publ.pdf	TRUE	other
81d660c0_4014096.pdf	TRUE	other
81f65b8b_kallelse-till-arsstamma-i-norion-bank-ab-publ.pdf	TRUE	other
8218dfce_point-properties-diskuterar-refinansiering-och-erlade-darfor-ej-betalning-pa-forfallodag-for-sin-obligation-utgor-uppsagningsgrund-under-fastators-obligation-varfor-fastator-sakrat-stod-for-waiver.pdf	TRUE	other
82f7f86b_notice-of-annual-general-meeting-in-alligator-bioscience-ab.pdf	TRUE	other
830d756a_4017424.pdf	TRUE	other
835399a5_rattelse-kallelse-till-arsstamma-i-bhg-group.pdf	TRUE	other
8381bd28_alimak-group-kallelse-agm-2026.pdf	TRUE	other
83ac63e2_4016631.pdf	TRUE	other
83e82a9d_wbgr-ar2025-final.pdf	TRUE	other
843beb75_4016332.pdf	TRUE	other
84661a0e_ny-aktiebas-260331-sve.pdf	TRUE	other
84943941_uppdatering-gallande-eolus-kapitalallokering-2026.pdf	TRUE	other
8535f5ab_ars-och-hallbarhetsredovisning-2025-humble-group.pdf	TRUE	Annual report
865e2935_4013662.pdf	TRUE	other
87ac1062_4016971.pdf	TRUE	other
8811f649_antal-aktier-och-roster-i-oncopeptides.pdf	TRUE	other
88482d62_informationsbroschyr-eng.pdf	TRUE	other
88482d62_volatis-board-of-directors-proposes-a-distribution-and-separate-listing-of-salix-group-and-publishes-an-information-brochure-ahead-of-the-annual-general-meeting.pdf	TRUE	other
89283d2d_4018210.pdf	TRUE	other
892c91c2_humana-asr-2025-se.pdf	TRUE	Annual report
8a6809d3_number-of-shares-and-votes-in-nanologica-ab-publ.pdf	TRUE	other
8adecbcf_3984635.pdf	TRUE	other
8b5edcb5_4012445.pdf	TRUE	other
8bdeaf5e_orexo-kallelse-arsstamma-2026-publ-30-mars.pdf	TRUE	other
8bf54d0c_4018464.pdf	TRUE	other
8c4d6144_4014047.pdf	TRUE	other
8c87af52_netel-signs-contract-with-the-city-of-stockholm-worth-30-million-sek.pdf	TRUE	other
8cb05def_netel-tecknar-avtal-med-stockholm-stad-vart-30-msek.pdf	TRUE	other
8d8fb824_kallelse-till-arsstamma-i-humble-group-ab.pdf	TRUE	other
8e013f75_4014455.pdf	TRUE	other
8e4048dd_notice-of-annual-general-meeting-in-sveafastigheter-ab-publ.pdf	TRUE	other
8ea34b57_4017789.pdf	TRUE	other
8eaa0a51_roko-arsredovisning-2025.pdf	TRUE	Annual report
8f5bd305_aterkop-av-aktier-av-wall-to-wall-group-ab-under-vecka-13-2026.pdf	TRUE	other
8fc161cb_xbrane-ar-2025-eng.pdf	TRUE	Annual report
900ebf7b_bdd06c0e6ed1b6df.pdf	TRUE	other
9038ceee_nel-asa-cob-26-march-2026-form.pdf	TRUE	other
90f67c09_4014185.pdf	TRUE	other
91a45322_4012365.pdf	TRUE	other
91e9bf5c_the-nomination-committees-proposals-regarding-the-board-of-directors-for-the-annual-general-meeting-in-alligator-bioscience-ab-publ.pdf	TRUE	other
92672c1d_kallelse-till-arsstamma-i-bhg-group.pdf	TRUE	other
92fe01e0_xbrane-ar-2025.pdf	TRUE	Annual report
93821ca7_4015594.pdf	TRUE	other
